hood_id	seqid	start	end	align_gene	ipg_id	source	protein name	organism	strain	ipg_protein_id
3	NZ_FOWV01000001.1	396678	417239	WP_092969816.1	155765927	RefSeq	non-canonical purine NTP pyrophosphatase	Ralstonia sp. NFACC01	NFACC01	WP_092969816.1
0	NZ_CP158262.1	846791	867343	WP_368655612.1	885416895	RefSeq	non-canonical purine NTP pyrophosphatase	Castellaniella ginsengisoli	144863	WP_368655612.1
5	NZ_FPKR01000014.1	116367	136913	WP_217651497.1	129744350	RefSeq	non-canonical purine NTP pyrophosphatase	Chitinimonas taiwanensis DSM 18899	DSM 18899	WP_217651497.1
8	NZ_AVPH01000070.1	0	13659	WP_200862021.1	391635515	RefSeq	non-canonical purine NTP pyrophosphatase	Pseudogulbenkiania ferrooxidans EGD-HP2	EGD-HP2	WP_200862021.1
6	NZ_LRHX01000009.1	31159	51720	WP_070280091.1	119852435	RefSeq	non-canonical purine NTP pyrophosphatase	Janthinobacterium sp. MP5059B	MP5059B	WP_070280091.1
10	NZ_JBRFWQ010000001.1	1003329	1023875	WP_449274918.1	1076632450	RefSeq	non-canonical purine NTP pyrophosphatase	Pandoraea sputorum	WP21	WP_449274918.1
11	NZ_JAXKSO010000012.1	136867	157413	WP_322018702.1	723756811	RefSeq	non-canonical purine NTP pyrophosphatase	Ralstonia wenshanensis	VS23747	WP_322018702.1
7	NZ_CP039544.1	3981222	4001783	WP_283737683.1	655205561	RefSeq	non-canonical purine NTP pyrophosphatase	Alcaligenes faecalis	PGB1	WP_283737683.1
13	NZ_ATZJ01000056.1	2500	19181	WP_211234076.1	448570895	RefSeq	non-canonical purine NTP pyrophosphatase	Chitinilyticum litopenaei DSM 21440	DSM 21440	WP_211234076.1
9	NZ_CP027666.1	1723611	1744172	WP_106702757.1	183005707	RefSeq	non-canonical purine NTP pyrophosphatase	Ottowia oryzae	KADR8-3	WP_106702757.1
12	NZ_JAJISP010000001.1	471490	492051	WP_238040095.1	523737887	RefSeq	non-canonical purine NTP pyrophosphatase	Pseudomonas sp. MMS21 TM103	MMS21 TM103	WP_238040095.1
16	NZ_DBFAOF010000155.1	0	10403	WP_417285474.1	983754189	RefSeq	non-canonical purine NTP pyrophosphatase	Comamonas sp.		WP_417285474.1
15	NZ_FWXQ01000011.1	173106	193667	WP_084297430.1	143865018	RefSeq	non-canonical purine NTP pyrophosphatase	Pseudomonas sp. URIL14HWK12:I5	URIL14HWK12:I5	WP_084297430.1
17	NZ_JAUZUQ010000012.1	148896	169457	WP_311234058.1	700225570	RefSeq	non-canonical purine NTP pyrophosphatase	Acidovorax sp. PRC11	PRC11	WP_311234058.1
1	NZ_LN890476.1	2733788	2754355	WP_155867642.1	283858696	RefSeq	non-canonical purine NTP pyrophosphatase	Achromobacter xylosoxidans		WP_155867642.1
