hood_id	seqid	start	end	align_gene	ipg_id	source	protein name	organism	strain	ipg_protein_id
8	AEKN01000013.1	100983	143968	EFQ56781.1	21317148	INSDC	CRISPR-associated protein, Csn1 family	Streptococcus downei F0415	F0415	EFQ56781.1
15	AURU01000042.1	40862	76005	EPZ46028.1	42495367	INSDC	CRISPR-associated protein Cas9/Csn1, subtype II/NMEMI	Streptococcus pyogenes GA40634	GA40634	EPZ46028.1
14	AOSM01000052.1	0	37881	EMS75795.1	34692090	INSDC	hypothetical protein	Enterococcus durans IPLA 655	IPLA 655	EMS75795.1
19	BKZS01000012.1	0	36253	GER76399.1	275455645	INSDC	hypothetical protein	Enterococcus sp. FM11-1	FM11-1	GER76399.1
13	KB029962.1	1919264	1961943	ELB50264.1	32194923	INSDC	CRISPR-associated protein cas9/csn1, subtype II/nmemi	Enterococcus faecium EnGen0038	E2620	ELB50264.1
16	CM002133.1	1855257	1897246	EQC71948.1	42805411	INSDC	CRISPR-associated protein, Csn1 family	Streptococcus sp. HSISS2	HSISS2	EQC71948.1
17	CM002130.1	1834409	1877424	EQC73415.1	42806516	INSDC	CRISPR-associated protein, Csn1 family	Streptococcus sp. HSISS3	HSISS3	EQC73415.1
9	CM001050.1	2945318	2988180	EFR95520.1	21586819	INSDC	crispr-associated protein Csn1	Listeria ivanovii FSL F6-596	FSL F6-596	EFR95520.1
42	DAUBGS010000001.1	293590	336551	HEQ2253133.1	730346843	INSDC	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus pyogenes		HEQ2253133.1
43	DAUBJK010000001.1	429478	471644	HEQ2356748.1	730347784	INSDC	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus pyogenes		HEQ2356748.1
55	DAUVPV010000008.1	54636	83573	HES5666698.1	731901885	INSDC	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus pyogenes	15	HES5666698.1
63	DBBHOS010000001.1	226226	259547	HGC7345532.1	937231837	INSDC	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus agalactiae		HGC7345532.1
70	DASRNG010000035.1	0	20867	HZK21037.1	767737914	INSDC	type II CRISPR RNA-guided endonuclease Cas9	Oscillospiraceae bacterium		HZK21037.1
71	DASRMT010000039.1	0	19516	HZK38719.1	767722265	INSDC	type II CRISPR RNA-guided endonuclease Cas9	Clostridia bacterium		HZK38719.1
74	LROT01000001.1	0	22349	KYF35278.1	105583242	INSDC	CRISPR-associated protein, Csn1 family	Streptococcus mitis	10712	KYF35278.1
68	DAJPGW010000001.1	1624782	1668739	HJJ11556.1	592845515	INSDC	type II CRISPR RNA-guided endonuclease Cas9	Clostridiaceae bacterium		HJJ11556.1
