domain_id	Accession_pfam	Clan_pfam	Function_pfam	alignment_length	bit_score
FtsK_SpoIIIE	PF01580	CL0023	FtsK/SpoIIIE family	192.0	120.89
SufBD_N	PF19295		SufBD protein N-terminal region	85.0	36.01
DNA_pol3_a_NI	PF14480		DNA polymerase III polC-type N-terminus I	71.0	34.87
DUF2188	PF09954		Uncharacterized protein conserved in bacteria (DUF2188)	57.0	32.57
Peptidase_S49	PF01343	CL0127	Peptidase family S49	154.0	160.53
Peptidase_M28	PF04389	CL0865	Peptidase family M28	210.0	68.88
PsiE	PF06146		Phosphate-starvation-inducible E family	116.0	59.3
SecA_DEAD	PF07517	CL0023	SecA DEAD-like domain	379.0	436.13
TPP_enzyme_C	PF02775	CL0254	Thiamine pyrophosphate enzyme, C-terminal TPP binding domain	149.0	182.38
Bac_DnaA_C	PF08299	CL0123	Bacterial dnaA protein helix-turn-helix	69.0	95.89
AAA-ATPase_like	PF09820	CL0023	Predicted AAA-ATPase	223.0	162.05
SPJ_0845_N	PF28023		SPJ_0845 N-terminal domain	27.0	29.63
DUF2142	PF09913	CL0111	Predicted membrane protein (DUF2142)	378.0	158.88
PRD	PF00874	CL0166	PRD domain	91.0	64.75
HTH_31	PF13560	CL0123	Helix-turn-helix domain	60.0	22.48
ATP-synt_VA_C	PF22919		C-terminal domain of V and A type ATP synthase	97.0	54.41
DUF1642	PF07852		Protein of unknown function (DUF1642)	118.0	71.93
Ribosomal_L16	PF00252	CL0021	Ribosomal protein L16p/L10e	129.0	185.57
Mal_decarbox_Al	PF16957	CL0063	Malonate decarboxylase, alpha subunit, transporter	541.0	994.71
Cas_Cas2CT1978	PF09707	CL0728	CRISPR-associated protein (Cas_Cas2CT1978)	85.0	94.86
PTA_PTB	PF01515	CL0270	Phosphate acetyl/butaryl transferase	224.0	138.42
ClpB_D2-small	PF10431	CL0671	C-terminal, D2-small domain, of ClpB protein	83.0	45.5
Lar_N	PF09861	CL0471	Lactate racemase N-terminal domain	206.0	237.89
LplA-B_cat	PF21948	CL0040	Lipoyl protein ligase A/B catalytic domain	197.0	237.62
SAICAR_synt	PF01259		SAICAR synthetase	217.0	123.91
DUF4351	PF14261		Domain of unknown function (DUF4351)	59.0	39.93
Jag_N	PF14804		Jag N-terminus	48.0	33.99
DUF4342	PF14242		Domain of unknown function (DUF4342)	77.0	44.21
MFS_3	PF05977	CL0015	Transmembrane secretion effector	419.0	53.68
NifU_N	PF01592	CL0233	NifU-like N terminal domain	174.0	61.59
CPSase_L_D3	PF02787	CL0123	Carbamoyl-phosphate synthetase large chain, oligomerisation domain	78.0	77.48
HMA_AllF_N	PF27530	CL0704	AllF, heavy metal-associated domain	104.0	103.31
YdjM	PF04307	CL0368	YdjM inner membrane protein	208.0	79.77
Glyco_hydro_65m	PF03632	CL0059	Glycosyl hydrolase family 65 central catalytic domain	380.0	405.16
T4SS-DNA_transf	PF02534	CL0023	Type IV secretory system Conjugative DNA transfer	306.0	64.69
DUF711	PF05167	CL0339	Uncharacterised ACR (DUF711)	415.0	636.94
YafQ_toxin	PF15738	CL0136	Bacterial toxin of type II toxin-antitoxin system, YafQ	89.0	110.32
Mur_ligase_M	PF08245	CL0023	Mur ligase middle domain	181.0	151.81
Sigma70_r4	PF04545	CL0123	Sigma-70, region 4	54.0	66.07
DUF1659	PF07872		Protein of unknown function (DUF1659)	72.0	68.2
