leaf_id	og_index	superkingdom	kingdom	phylum	class	order	family	genus	species	dive_id	collection_id	dive_type	ipg_id	source	protein name	organism	strain	ipg_protein_id	start_win	end_win	strand_win	start_target	end_target	seqid	align_gene
0	0	unclassified	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Castellaniella	Castellaniella ginsengisoli				885416895	RefSeq	non-canonical purine NTP pyrophosphatase	Castellaniella ginsengisoli	144863	WP_368655612.1	846791	867343	+	856791	857343	NZ_CP158262.1	WP_368655612.1
1	1	unclassified	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter xylosoxidans				283858696	RefSeq	non-canonical purine NTP pyrophosphatase	Achromobacter xylosoxidans		WP_155867642.1	2733788	2754355	-	2743788	2744355	NZ_LN890476.1	WP_155867642.1
3	3	unclassified	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia sp. NFACC01				155765927	RefSeq	non-canonical purine NTP pyrophosphatase	Ralstonia sp. NFACC01	NFACC01	WP_092969816.1	396678	417239	+	406678	407239	NZ_FOWV01000001.1	WP_092969816.1
5	5	unclassified	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Neisseriales	Chitinibacteraceae	Chitinimonas	Chitinimonas taiwanensis	1994	DSM 18899, CCRC 17210, LMG 22011	bacteria	129744350	RefSeq	non-canonical purine NTP pyrophosphatase	Chitinimonas taiwanensis DSM 18899	DSM 18899	WP_217651497.1	116367	136913	-	126367	126913	NZ_FPKR01000014.1	WP_217651497.1
6	6	unclassified	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium	Janthinobacterium sp. MP5059B				119852435	RefSeq	non-canonical purine NTP pyrophosphatase	Janthinobacterium sp. MP5059B	MP5059B	WP_070280091.1	31159	51720	+	41159	41720	NZ_LRHX01000009.1	WP_070280091.1
7	7	unclassified	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Alcaligenes	Alcaligenes faecalis				655205561	RefSeq	non-canonical purine NTP pyrophosphatase	Alcaligenes faecalis	PGB1	WP_283737683.1	3981222	4001783	-	3991222	3991783	NZ_CP039544.1	WP_283737683.1
8	8	unclassified	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Pseudogulbenkiania	Pseudogulbenkiania ferrooxidans				391635515	RefSeq	non-canonical purine NTP pyrophosphatase	Pseudogulbenkiania ferrooxidans EGD-HP2	EGD-HP2	WP_200862021.1	0	13659	-	3113	3659	NZ_AVPH01000070.1	WP_200862021.1
9	9	unclassified	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Ottowia	Ottowia oryzae	159829	KACC 19325, NBRC 113109	bacteria	183005707	RefSeq	non-canonical purine NTP pyrophosphatase	Ottowia oryzae	KADR8-3	WP_106702757.1	1723611	1744172	+	1733611	1734172	NZ_CP027666.1	WP_106702757.1
10	10	unclassified	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Pandoraea	Pandoraea sputorum				1076632450	RefSeq	non-canonical purine NTP pyrophosphatase	Pandoraea sputorum	WP21	WP_449274918.1	1003329	1023875	+	1013329	1013875	NZ_JBRFWQ010000001.1	WP_449274918.1
11	11	unclassified	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia wenshanensis				723756811	RefSeq	non-canonical purine NTP pyrophosphatase	Ralstonia wenshanensis	VS23747	WP_322018702.1	136867	157413	+	146867	147413	NZ_JAXKSO010000012.1	WP_322018702.1
