domain_id	Accession_pfam	Clan_pfam	EC_phrog	Function_pfam	Function_phrog	L1_phrog	alignment_length	bit_score
Anti-RecBCD_p2	PF11043			Bacteriophage P22, anti-RecBCD protein 2			98.0	183.34
phrog_196					baseplate hub	tail	334.0	259.16
phrog_8628					hypothetical	unknown function	60.0	25.41
PhdYeFM_antitox	PF02604	CL0871		Antitoxin Phd_YefM, type II toxin-antitoxin system			67.0	49.89
DUF2514	PF10721	CL0331		Protein of unknown function (DUF2514)			149.0	43.29
phrog_3595					hypothetical	unknown function	46.0	89.67
phrog_9085					hypothetical	unknown function	69.0	129.88
FNIII-A_GpJ	PF24801	CL0202		Tip attachment protein J,FNIII-A domain			125.0	139.56
phrog_4889					polynucleotide kinase/phosphorylase	other	297.0	182.26
phrog_12715					nucleotidyltransferase	DNA, RNA and nucleotide metabolism	423.0	649.43
phrog_1036					tail sheath	tail	529.0	824.95
phrog_5724					hypothetical	unknown function	62.0	102.54
DNA_ligase_OB_2	PF14743	CL0021		DNA ligase OB-like domain			66.0	30.94
phrog_3359					NAD-dependent DNA ligase	DNA, RNA and nucleotide metabolism	323.0	586.26
Phage_P22_gp16	PF26808			Bacteriophage P22 ejection protein gp16			738.0	859.2
phrog_37456					hypothetical	unknown function	202.0	479.16
Phage_lysozyme	PF00959	CL0037		Phage lysozyme			145.0	51.11
phrog_1043					unknown function	unknown function	55.0	111.01
Gp54	PF25180	CL0918		Phage antiviral trigger protein Gp54			66.0	111.5
AsiA	PF09010			Anti-Sigma Factor A			83.0	77.69
Nuclease_act	PF08133			Anticodon nuclease activator family			26.0	53.49
phrog_25570					hypothetical	unknown function	36.0	94.93
phrog_15711					hypothetical	unknown function	136.0	297.67
Soc	PF16855			Small outer capsid protein			74.0	185.24
phrog_8789					hypothetical	unknown function	61.0	112.23
Peptidase_S78	PF04586	CL0201		Caudovirus prohead serine protease			165.0	68.05
phrog_146					portal protein	head and packaging	420.0	403.78
phrog_999					head vertex assembly chaperone	head and packaging	114.0	151.69
Phage_T4_Y16C	PF26819			Bacteriophage T4 Y16C protein			97.0	143.96
DUF7570	PF24454			Family of unknown function (DUF7570)			94.0	145.47
phrog_27185					hypothetical	unknown function	68.0	65.58
phrog_3345					hypothetical	unknown function	59.0	147.63
Toprim_2	PF13155	CL0413		Toprim-like			89.0	45.51
phrog_12029					hypothetical	unknown function	96.0	191.01
phrog_4499					hypothetical	unknown function	46.0	33.56
phrog_1774					hypothetical	unknown function	97.0	163.37
phrog_5116					hypothetical	unknown function	57.0	98.85
phrog_24369					tail fiber protein	tail	1396.0	3172.92
phrog_1715					virion structural protein	head and packaging	78.0	143.1
phrog_16474					hypothetical	unknown function	95.0	191.08
phrog_920					holin	lysis	67.0	102.73
phrog_4984					hypothetical	unknown function	93.0	165.1
DUF7540	PF24386			Domain of unknown function (DUF7540)			60.0	112.39
phrog_27827					hypothetical	unknown function	256.0	548.22
RecT	PF03837			RecT family			165.0	100.53
phrog_850					RNA-binding protein	DNA, RNA and nucleotide metabolism	471.0	629.93
SU10_adaptor	PF24175			SU10 adaptor protein			218.0	31.06
phrog_12507					transglycosylase	other	260.0	567.03
GATase_7	PF13537	CL0052		Glutamine amidotransferase domain			128.0	26.5
Phage_T4_Y04M	PF26914			Bacteriophage T4 protein Y04M			80.0	107.34
phrog_3118					HNH endonuclease	DNA, RNA and nucleotide metabolism	325.0	348.97
phrog_2138					hypothetical	unknown function	65.0	88.84
phrog_4469					hypothetical	unknown function	66.0	146.33
gp6_C-domII	PF21472			Baseplate structural protein gp6, C-terminal domain II			124.0	177.13
Dmd	PF17587			Discriminator of mRNA degradation			60.0	156.77
phrog_6570					hypothetical	unknown function	79.0	72.7
DnaB_C	PF03796	CL0023		DnaB-like helicase C terminal domain			253.0	61.95
NinB	PF05772			NinB protein			127.0	183.1
phrog_5045					phospho-2-dehydro-3-deoxyheptonate aldolase	moron, auxiliary metabolic gene and host takeover	330.0	608.85
phrog_23946					hypothetical	unknown function	56.0	127.91
RNA_ligase	PF09414	CL0179		RNA ligase			200.0	80.63
phrog_27401					hypothetical	unknown function	114.0	189.38
Phage_tube	PF04985	CL0504		Phage tail tube protein FII			168.0	205.87
phrog_4135					hypothetical	unknown function	36.0	87.16
phrog_3474					hypothetical	unknown function	66.0	100.23
DUF5496	PF17600			Family of unknown function (DUF5496)			87.0	191.61
phrog_24254					hypothetical	unknown function	64.0	170.43
Big_2	PF02368	CL0159		Bacterial Ig-like domain (group 2)			82.0	70.14
phrog_35919					hypothetical	unknown function	58.0	152.25
phrog_188					tail fiber assembly protein	tail	143.0	179.23
phrog_23528					hypothetical	unknown function	86.0	176.27
phrog_21931					hypothetical	unknown function	78.0	162.24
phrog_12847					hypothetical	unknown function	90.0	216.96
phrog_16385					hypothetical	unknown function	163.0	314.48
phrog_24805					hypothetical	unknown function	35.0	91.64
phrog_13350					hypothetical	unknown function	287.0	476.1
Linr3	PF27932			Lysis inhibition accessory protein rIII			81.0	157.7
phrog_30162					hypothetical	unknown function	201.0	481.1
phrog_945					endonuclease	DNA, RNA and nucleotide metabolism	149.0	228.42
Ig_GpJ_C	PF12421	CL0159		Tip attachment protein J, C-terminal receptor binding domain			132.0	246.23
phrog_3259					hypothetical	unknown function	281.0	207.07
Terminase-T7_RNaseH-like	PF22530	CL0219		Terminase Bacteriophage T7, Ribonuclease H-like domain			108.0	135.51
phrog_5020					hypothetical	unknown function	107.0	160.7
Phage_T7_kinase	PF27024	CL0016		Bacteriophage T7 protein kinase 0.7			359.0	485.36
DUF8377	PF28254			Domain of unknown function (DUF8377)			215.0	326.65
phrog_6318					hypothetical	unknown function	125.0	174.57
gpW	PF02831			gpW			67.0	128.83
phrog_1930					hypothetical	unknown function	70.0	122.82
phrog_30800					hypothetical	unknown function	65.0	136.73
Phage_endo_I	PF05367	CL0236		Phage endonuclease I			149.0	283.46
phrog_22099					hypothetical	unknown function	82.0	139.49
phrog_100					SbcD-like subunit of palindrome specific endonuclease	DNA, RNA and nucleotide metabolism	339.0	416.04
Phage_T5_Nicking_endo	PF26848			Nicking endonuclease family			138.0	196.21
phrog_676					hypothetical	unknown function	55.0	134.88
AAA_33	PF13671	CL0023		AAA domain			147.0	80.04
CLP_protease	PF00574	CL0127		Clp protease			152.0	47.17
phrog_69					exonuclease	DNA, RNA and nucleotide metabolism	477.0	330.19
DUF4884	PF16225			Domain of unknown function (DUF4884)			59.0	63.22
Lambda_Kil	PF06301			Bacteriophage lambda Kil protein			31.0	61.08
phrog_261					baseplate wedge subunit	tail	132.0	182.61
Phage_T4_End_IV	PF26887			Bacteriophage T4 endonuclease IV			158.0	239.89
phrog_17875					hypothetical	unknown function	109.0	241.91
phrog_91					nicking at origin of replication	DNA, RNA and nucleotide metabolism	759.0	1037.53
phrog_11					baseplate spike	tail	211.0	224.86
phrog_16602					hypothetical	unknown function	117.0	236.27
phrog_3127					hypothetical	unknown function	172.0	161.78
DNA_pol_B	PF00136	CL0194		DNA polymerase family B			143.0	55.29
OB_DNA_ligase	PF03120	CL0021		NAD-dependent DNA ligase OB-fold domain			73.0	76.31
