leaf_id	og_index	superkingdom	kingdom	phylum	class	order	family	genus	species	Bas##	morphotype	ICTV family	ICTV subfamily	ICTV genus	ICTV species	phage name	start_win	end_win	strand_win	start_target	end_target	seqid	align_gene
0	47	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	Vequintavirus	Vequintavirus murica	Bas48	myovirus		Vequintavirinae	Vequintavirus	unclassified (with pangalan)	Escherichia phage CarlMeissner	0	137623	+	0	137623	MZ501054.1	
1	12	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	Drexlerviridae	Tunavirus	Tunavirus leonhardeuler	Bas13	siphovirus	Drexlerviridae	Tunavirinae	Tunavirus	unclassified	Escherichia phage LeonhardEuler	0	50192	+	0	50192	MZ501092.1	
2	42	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	Pantevenvirales	Straboviridae	Tequatrovirus	Escherichia phage TadeuszReichstein	Bas43	myovirus	Straboviridae	Tevenvirinae	Tequatrovirus	unclassified	Escherichia phage TadeuszReichstein	0	166115	+	0	166115	MZ501106.1	
3	0	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	Drexlerviridae	Augustepiccardvirus	Augustepiccardvirus augustepiccard	Bas01	siphovirus	Drexlerviridae	Braunvirinae	Rtpvirus	unclassified	Escherichia phage AugustePiccard	0	50126	+	0	50126	MZ501051.1	
4	102	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Escherichia phage AnnaIndermaur_Bas104	Bas104	podovirus	Autographiviridae	Studiervirinae	Teseptimavirus	unclassified	Escherichia phage AnnaIndermaur	0	40334	+	0	40334	PQ850595.1	
5	74	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Escherichia phage VerenaMeyer_Bas76	Bas76	siphovirus		Guernseyvirinae	Kagunavirus	unclassified	Escherichia phage VerenaMeyer	0	43821	+	0	43821	PQ850632.1	
6	50	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	Vequintavirus	Vequintavirus waltergehring	Bas51	myovirus		Vequintavirinae	Vequintavirus	unclassified	Escherichia phage WalterGehring	0	140659	+	0	140659	MZ501111.1	
7	53	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	Vequintavirus	Vequintavirus maxburger	Bas54	myovirus		Vequintavirinae	Vequintavirus	unclassified (with bov10K2)	Escherichia phage MaxBurger	0	136346	+	0	136346	MZ501093.1	
8	54	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	Vequintavirus	Vequintavirus nomine	Bas55	myovirus		Vequintavirinae	Vequintavirus	unclassified (with nomine)	Escherichia phage JeffSchatz	0	135630	+	0	135630	MZ501082.1	
9	81	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Escherichia phage Haito_Bas83	Bas83	siphovirus			Dhillonvirus	unclassified	Escherichia phage Haito	0	44876	+	0	44876	PQ850604.1	
10	31	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	Demerecviridae	Tequintavirus	Tequintavirus irisvonroten	Bas32	siphovirus	Demerecviridae	Markadamsvirinae	Tequintavirus	unclassified	Escherichia phage IrisVonRoten	0	112239	+	0	112239	MZ501075.1	
11	23	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	Seuratvirus	Escherichia phage SeppeHuegi	Bas24	siphovirus		Queuovirinae	Seuratvirus	unclassified	Escherichia phage SeppeHuegi	0	60068	+	0	60068	MZ501104.1	
12	41	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	Pantevenvirales	Straboviridae	Tequatrovirus	Tequatrovirus teqdroes	Bas42	myovirus	Straboviridae	Tevenvirinae	Tequatrovirus	unclassified (with Sf23)	Escherichia phage AndreasVesalius	0	168255	+	0	168255	MZ501050.1	
13	63	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	Autographivirales	Autotranscriptaviridae	Teseptimavirus	Teseptimavirus jeantinguely	Bas64	podovirus	Autographiviridae	Studiervirinae	Teseptimavirus	unclassified	Escherichia phage JeanTinguely	0	39842	+	0	39842	MZ501081.1	
14	66	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	Autographivirales	Autotranscriptaviridae	Berlinvirus	Berlinvirus carlspitteler	Bas68	podovirus	Autographiviridae	Studiervirinae	Berlinvirus	unclassified	Escherichia phage CarlSpitteler	0	39466	+	0	39466	MZ501055.1	
15	39	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	Pantevenvirales	Straboviridae	Tequatrovirus	Tequatrovirus teqdroes	Bas40	myovirus	Straboviridae	Tevenvirinae	Tequatrovirus	unclassified	Escherichia phage FelixPlatter	0	164714	+	0	164714	MZ501065.1	
16	78	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Escherichia phage ChristineMuster_Bas80	Bas80	siphovirus			Skatevirus	unclassified	Escherichia phage ChristineMuster	0	47021	+	0	47021	PQ850597.1	
17	52	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	Vequintavirus	Vequintavirus slur16	Bas53	myovirus		Vequintavirinae	Vequintavirus	unclassified (with bov10K2)	Escherichia phage JohannBauhin	0	135602	+	0	135602	MZ501083.1	
18	1	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	Drexlerviridae	Veterinaerplatzvirus	Veterinaerplatzvirus Jeanpiccard	Bas02	siphovirus	Drexlerviridae	Braunvirinae	Guelphvirus	unclassified	Escherichia phage JeanPiccard	0	47149	+	0	47149	MZ501080.1	
19	51	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	Vequintavirus	Escherichia phage RudolfGeigy	Bas52	myovirus		Vequintavirinae	Vequintavirus	unclassified (with bov10K2)	Escherichia phage RudolfGeigy	0	137380	+	0	137380	MZ501102.1	
