hood_id	seqid	start	end	align_gene	Bas##	morphotype	ICTV family	ICTV subfamily	ICTV genus	ICTV species	phage name
0	MZ501054.1	0	137623		Bas48	myovirus		Vequintavirinae	Vequintavirus	unclassified (with pangalan)	Escherichia phage CarlMeissner
1	MZ501092.1	0	50192		Bas13	siphovirus	Drexlerviridae	Tunavirinae	Tunavirus	unclassified	Escherichia phage LeonhardEuler
2	MZ501106.1	0	166115		Bas43	myovirus	Straboviridae	Tevenvirinae	Tequatrovirus	unclassified	Escherichia phage TadeuszReichstein
3	MZ501051.1	0	50126		Bas01	siphovirus	Drexlerviridae	Braunvirinae	Rtpvirus	unclassified	Escherichia phage AugustePiccard
10	MZ501075.1	0	112239		Bas32	siphovirus	Demerecviridae	Markadamsvirinae	Tequintavirus	unclassified	Escherichia phage IrisVonRoten
11	MZ501104.1	0	60068		Bas24	siphovirus		Queuovirinae	Seuratvirus	unclassified	Escherichia phage SeppeHuegi
13	MZ501081.1	0	39842		Bas64	podovirus	Autographiviridae	Studiervirinae	Teseptimavirus	unclassified	Escherichia phage JeanTinguely
14	MZ501055.1	0	39466		Bas68	podovirus	Autographiviridae	Studiervirinae	Berlinvirus	unclassified	Escherichia phage CarlSpitteler
12	MZ501050.1	0	168255		Bas42	myovirus	Straboviridae	Tevenvirinae	Tequatrovirus	unclassified (with Sf23)	Escherichia phage AndreasVesalius
16	PQ850597.1	0	47021		Bas80	siphovirus			Skatevirus	unclassified	Escherichia phage ChristineMuster
17	MZ501083.1	0	135602		Bas53	myovirus		Vequintavirinae	Vequintavirus	unclassified (with bov10K2)	Escherichia phage JohannBauhin
18	MZ501080.1	0	47149		Bas02	siphovirus	Drexlerviridae	Braunvirinae	Guelphvirus	unclassified	Escherichia phage JeanPiccard
15	MZ501065.1	0	164714		Bas40	myovirus	Straboviridae	Tevenvirinae	Tequatrovirus	unclassified	Escherichia phage FelixPlatter
21	MZ501064.1	0	39315		Bas67	podovirus	Autographiviridae	Studiervirinae	Berlinvirus	unclassified	Escherichia phage ErnstBeyeler
19	MZ501102.1	0	137380		Bas52	myovirus		Vequintavirinae	Vequintavirus	unclassified (with bov10K2)	Escherichia phage RudolfGeigy
20	PQ850620.1	0	39651		Bas102	podovirus	Autographiviridae	Studiervirinae	Teseptimavirus	unclassified	Escherichia phage MeretOppenheim
22	PQ850596.1	0	43870		Bas75	siphovirus		Guernseyvirinae	Kagunavirus	unclassified	Escherichia phage AnnaReinhart
23	PQ850602.1	0	40176		Bas103	podovirus	Autographiviridae	Studiervirinae	Teseptimavirus	unclassified	Escherichia phage EmilieLinder
7	MZ501093.1	0	136346		Bas54	myovirus		Vequintavirinae	Vequintavirus	unclassified (with bov10K2)	Escherichia phage MaxBurger
24	MZ501046.1	0	166773		Bas44	myovirus	Straboviridae	Tevenvirinae	Tequatrovirus	unclassified (with R5505)	Escherichia phage AdolfPortmann
4	PQ850595.1	0	40334		Bas104	podovirus	Autographiviridae	Studiervirinae	Teseptimavirus	unclassified	Escherichia phage AnnaIndermaur
5	PQ850632.1	0	43821		Bas76	siphovirus		Guernseyvirinae	Kagunavirus	unclassified	Escherichia phage VerenaMeyer
6	MZ501111.1	0	140659		Bas51	myovirus		Vequintavirinae	Vequintavirus	unclassified	Escherichia phage WalterGehring
8	MZ501082.1	0	135630		Bas55	myovirus		Vequintavirinae	Vequintavirus	unclassified (with nomine)	Escherichia phage JeffSchatz
9	PQ850604.1	0	44876		Bas83	siphovirus			Dhillonvirus	unclassified	Escherichia phage Haito
26	PQ850625.1	0	46496		Bas78	siphovirus			Skatevirus	unclassified	Escherichia phage SandraMuster
29	MZ501063.1	0	146666		Bas61	myovirus		Stephanstirmvirinae	Justusliebigvirus	unclassified	Escherichia phage EmilieFrey
32	MZ501049.1	0	70849		Bas69	podovirus	Schitoviridae	Enquatrovirinae	Enquatrovirus	unclassified (with PMBT57)	Escherichia phage AlfredRasser
25	PQ850601.1	0	39718		Bas105	podovirus	Autographiviridae	Studiervirinae	Kayfunavirus	unclassified	Escherichia phage ElsieAttenhofer
28	MZ501071.1	0	56589		Bas21	siphovirus		Queuovirinae	Seuratvirus	unclassified	Escherichia phage GottfriedDienst
27	PQ850593.1	0	68851		Bas93	podovirus		Gordonclarkvirinae	Kuravirus	unclassified	Escherichia phage AidaStucki
31	MZ501076.1	0	115446		Bas28	siphovirus	Demerecviridae	Markadamsvirinae	Epseptimavirus	unclassified	Escherichia phage IrmaTschudi
34	MZ501070.1	0	44295		Bas16	siphovirus			Dhillonvirus	Dhillonvirus	Escherichia phage GeorgBuechner
33	MZ501067.1	0	165574		Bas41	myovirus	Straboviridae	Tevenvirinae	Tequatrovirus	unclassified (with teqhad)	Escherichia phage FriedrichZschokke
36	MZ501079.1	0	51129		Bas07	siphovirus	Drexlerviridae	Tempevirinae	Hanrivervirus	unclassified	Escherichia phage JakobBernoulli
30	PQ850610.1	0	67748		Bas92	podovirus		Gordonclarkvirinae	Kuravirus	unclassified	Escherichia phage JacquesWildberger
35	NC_005859.1	0	121750		n.a.	siphovirus	Demerecviridae	Markadamsvirinae	Tequintavirus	Escherichia virus T5	Escherichia phage T5 (reference)
38	PQ850630.1	0	47623		Bas81	siphovirus			Skatevirus	unclassified	Escherichia phage TanjaMuster
